task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
64	ba/b87b11	196485854	VCF2MAF_SOMATIC_WORKING (33)	COMPLETED	0	2025-07-18 14:33:18.908	29.6s	18.2s	79.3%	393 MB	441.6 MB	491.3 MB	3.9 MB
63	37/098f7b	196485855	VCF2MAF_GERMLINE_WORKING (31)	COMPLETED	0	2025-07-18 14:33:18.988	29.5s	5.3s	67.9%	133.3 MB	179.4 MB	107.2 MB	1.6 MB
68	bf/862f55	196485856	VCF2MAF_SOMATIC_WORKING (35)	COMPLETED	0	2025-07-18 14:33:19.066	29.4s	17.3s	73.0%	328.2 MB	377 MB	433.5 MB	3.2 MB
66	14/fc0019	196485857	VCF2MAF_GERMLINE_WORKING (33)	COMPLETED	0	2025-07-18 14:33:19.222	29.3s	9s	67.4%	190.1 MB	236.7 MB	147.7 MB	1.7 MB
73	8a/afc940	196485861	VCF2MAF_SOMATIC_WORKING (38)	COMPLETED	0	2025-07-18 14:33:19.551	29s	14.8s	75.4%	427.2 MB	473.4 MB	397.6 MB	3 MB
65	c7/5bd0c3	196485859	VCF2MAF_GERMLINE_WORKING (32)	COMPLETED	0	2025-07-18 14:33:19.399	29.1s	5.6s	57.7%	173 MB	219.9 MB	92.3 MB	1.5 MB
60	4d/b4af94	196485852	VCF2MAF_SOMATIC_WORKING (31)	COMPLETED	0	2025-07-18 14:33:18.723	59.7s	42.5s	78.8%	672.6 MB	717.4 MB	898.7 MB	5.9 MB
72	e3/2841b8	196485867	VCF2MAF_GERMLINE_WORKING (35)	COMPLETED	0	2025-07-18 14:33:48.700	29.8s	4.6s	65.5%	123 MB	169.5 MB	80.1 MB	1.5 MB
70	98/abc203	196485868	VCF2MAF_GERMLINE_WORKING (34)	COMPLETED	0	2025-07-18 14:33:48.778	29.7s	5.6s	67.7%	134.7 MB	182.3 MB	110.8 MB	1.6 MB
77	ea/0497dc	196485870	VCF2MAF_GERMLINE_WORKING (37)	COMPLETED	0	2025-07-18 14:33:48.943	29.6s	6s	63.0%	167.3 MB	215.4 MB	120.3 MB	1.6 MB
74	7c/7d3bd1	196485871	VCF2MAF_GERMLINE_WORKING (36)	COMPLETED	0	2025-07-18 14:33:49.017	29.5s	6s	61.7%	193.8 MB	242.4 MB	108.6 MB	1.6 MB
71	9e/8544c5	196485869	VCF2MAF_SOMATIC_WORKING (37)	COMPLETED	0	2025-07-18 14:33:48.868	29.6s	23.8s	80.2%	506.2 MB	556.2 MB	633.5 MB	4.4 MB
67	fa/a2d552	196485858	VCF2MAF_SOMATIC_WORKING (34)	COMPLETED	0	2025-07-18 14:33:19.297	1m 29s	58.4s	83.0%	992.3 MB	1 GB	1.5 GB	12.1 MB
62	d4/ab00f3	196485853	VCF2MAF_SOMATIC_WORKING (32)	COMPLETED	0	2025-07-18 14:33:18.800	1m 30s	1m 9s	83.7%	1 GB	1.1 GB	1.5 GB	12.5 MB
75	92/14c6b2	196485872	VCF2MAF_SOMATIC_WORKING (39)	COMPLETED	0	2025-07-18 14:33:49.191	59.3s	27.6s	82.0%	647.2 MB	693.3 MB	768.4 MB	5.6 MB
69	15/a24fec	196485860	VCF2MAF_SOMATIC_WORKING (36)	COMPLETED	0	2025-07-18 14:33:19.475	1m 29s	1m 2s	83.5%	1.1 GB	1.1 GB	1.6 GB	12.9 MB
78	c5/450f61	196485884	VCF2MAF_GERMLINE_WORKING (38)	COMPLETED	0	2025-07-18 14:34:18.601	29.9s	6.8s	65.7%	183.5 MB	231.2 MB	143.6 MB	1.7 MB
76	50/526701	196485885	VCF2MAF_SOMATIC_WORKING (40)	COMPLETED	0	2025-07-18 14:34:18.715	29.8s	22.6s	77.9%	490.8 MB	538.1 MB	609.2 MB	4.3 MB
80	95/8c1580	196485886	VCF2MAF_GERMLINE_WORKING (39)	COMPLETED	0	2025-07-18 14:34:18.879	29.7s	5s	72.5%	155.5 MB	201.9 MB	108.4 MB	1.6 MB
79	f7/b128d9	196485887	VCF2MAF_SOMATIC_WORKING (41)	COMPLETED	0	2025-07-18 14:34:18.960	29.6s	24.2s	79.8%	572.1 MB	621 MB	621.6 MB	4.7 MB
81	2a/972f06	196485888	VCF2MAF_GERMLINE_WORKING (40)	COMPLETED	0	2025-07-18 14:34:19.037	29.5s	5.6s	69.7%	173.8 MB	223.2 MB	110.5 MB	1.6 MB
83	81/36c2b1	196485889	VCF2MAF_GERMLINE_WORKING (41)	COMPLETED	0	2025-07-18 14:34:19.199	29.4s	4.7s	67.1%	158.5 MB	206.9 MB	91.7 MB	1.5 MB
82	1b/585c0b	196485894	VCF2MAF_SOMATIC_WORKING (42)	COMPLETED	0	2025-07-18 14:34:48.755	29.7s	17.6s	77.1%	363.9 MB	411.4 MB	484 MB	3.3 MB
87	65/87d73d	196485895	VCF2MAF_GERMLINE_WORKING (43)	COMPLETED	0	2025-07-18 14:34:48.855	29.6s	6s	66.2%	160.9 MB	208.7 MB	118.6 MB	1.6 MB
85	01/fb3962	196485896	VCF2MAF_GERMLINE_WORKING (42)	COMPLETED	0	2025-07-18 14:34:48.932	29.6s	5.9s	67.3%	204.1 MB	251.9 MB	122.1 MB	1.7 MB
91	90/6a6dd3	196485899	VCF2MAF_GERMLINE_WORKING (45)	COMPLETED	0	2025-07-18 14:34:49.209	29.3s	6.2s	63.8%	185.7 MB	234.4 MB	122.8 MB	1.6 MB
88	a3/b6d120	196485901	VCF2MAF_GERMLINE_WORKING (44)	COMPLETED	0	2025-07-18 14:34:49.365	29.2s	5.3s	64.8%	127.4 MB	173.6 MB	101.3 MB	1.6 MB
92	40/bd0b76	196485902	VCF2MAF_GERMLINE_WORKING (46)	COMPLETED	0	2025-07-18 14:34:49.441	29.1s	7.7s	71.3%	208.9 MB	255.9 MB	176.9 MB	1.9 MB
89	56/e286ee	196485898	VCF2MAF_SOMATIC_WORKING (45)	COMPLETED	0	2025-07-18 14:34:49.132	29.4s	23s	77.3%	464.4 MB	510.8 MB	620.7 MB	4.1 MB
90	53/480f39	196485900	VCF2MAF_SOMATIC_WORKING (46)	COMPLETED	0	2025-07-18 14:34:49.285	29.3s	20.4s	80.8%	474.2 MB	524.3 MB	602.6 MB	3.9 MB
84	c5/1f7b8d	196485893	VCF2MAF_SOMATIC_WORKING (43)	COMPLETED	0	2025-07-18 14:34:48.677	59.8s	56.5s	83.4%	1 GB	1.1 GB	1.5 GB	11 MB
86	38/dd0b26	196485897	VCF2MAF_SOMATIC_WORKING (44)	COMPLETED	0	2025-07-18 14:34:49.007	59.5s	48.4s	82.1%	986.8 MB	1 GB	1.2 GB	8.9 MB
97	d6/4c85f3	196485912	VCF2MAF_GERMLINE_WORKING (48)	COMPLETED	0	2025-07-18 14:35:18.762	29.7s	6s	69.5%	177.6 MB	224.8 MB	125.6 MB	1.7 MB
94	7a/723245	196485913	VCF2MAF_SOMATIC_WORKING (48)	COMPLETED	0	2025-07-18 14:35:18.834	29.7s	20.1s	79.9%	488 MB	534.3 MB	554.2 MB	3.9 MB
96	4b/85de8b	196485914	VCF2MAF_SOMATIC_WORKING (49)	COMPLETED	0	2025-07-18 14:35:18.978	29.5s	24.1s	76.2%	509.9 MB	557.9 MB	649.6 MB	4.3 MB
93	55/b953d4	196485911	VCF2MAF_SOMATIC_WORKING (47)	COMPLETED	0	2025-07-18 14:35:18.688	29.8s	25.7s	81.4%	542.1 MB	588.6 MB	719.7 MB	4.8 MB
95	87/09971a	196485915	VCF2MAF_GERMLINE_WORKING (47)	COMPLETED	0	2025-07-18 14:35:19.394	29.1s	10.1s	63.9%	177.8 MB	223.2 MB	120.4 MB	1.7 MB
