Sample_ID	Tumor_ID	Normal_ID	Percent
GABJHS-Tu-0CDQO6_vs_GABJHS-N-0C9S7D	GABJHS-Tu-0CDQO6	GABJHS-N-0C9S7D	3.06
GADBKF-Tu-0BZK5O_vs_GADBKF-N-0C9S8O	GADBKF-Tu-0BZK5O	GADBKF-N-0C9S8O	4.68
GADCFX-Tu-0BE3DG_vs_GADCFX-N-0C9S52	GADCFX-Tu-0BE3DG	GADCFX-N-0C9S52	2.54
GADCGA-Tu-0CDQPE_vs_GADCGA-0C9S9L	GADCGA-Tu-0CDQPE	GADCGA-0C9S9L	2.78
GADCGH-Tu-0CDQQ0_vs_GADCGH-N-0C9S8V	GADCGH-Tu-0CDQQ0	GADCGH-N-0C9S8V	3.51
GADCGP-Tu-0CDQR8_vs_GADCGP-N-0C9S6Y	GADCGP-Tu-0CDQR8	GADCGP-N-0C9S6Y	1.22
GADCGU-Tu-0BEDX9_vs_GADCGU-N-0C9S92	GADCGU-Tu-0BEDX9	GADCGU-N-0C9S92	2.27
GADCHA-Tu-0CDQSG_vs_GADCHA-N-0C9S6U	GADCHA-Tu-0CDQSG	GADCHA-N-0C9S6U	4.87
GADCHV-Tu-0CDQRU_vs_GADCHV-N-0C9S9S	GADCHV-Tu-0CDQRU	GADCHV-N-0C9S9S	3.34
GADCIB-Tu-0BI56B_vs_GADCIB-N-0C9S8M	GADCIB-Tu-0BI56B	GADCIB-N-0C9S8M	2.82
GADCIC-Tu-0BI57L_vs_GADCIC-N-0C9S5V	GADCIC-Tu-0BI57L	GADCIC-N-0C9S5V	1.76
GADCIR-Tu-0BI533_vs_GADCIR-N-0C9S5P	GADCIR-Tu-0BI533	GADCIR-N-0C9S5P	1.20
GADCJB-Tu-0BJSC9_vs_GADCJB-N-0C9S8T	GADCJB-Tu-0BJSC9	GADCJB-N-0C9S8T	0.97
GADCJG-Tu-0CDQUA_vs_GADCJG-N-0C9S7P	GADCJG-Tu-0CDQUA	GADCJG-N-0C9S7P	1.38
GADCJI-Tu-0BI524_vs_GADCJI-N-0C9S5E	GADCJI-Tu-0BI524	GADCJI-N-0C9S5E	2.16
GADCJR-Tu-0BHS1U_vs_GADCJR-N-0C9S5J	GADCJR-Tu-0BHS1U	GADCJR-N-0C9S5J	1.99
GADCJW-Tu-0BKQO1_vs_GADCJW-N-0C9S95	GADCJW-Tu-0BKQO1	GADCJW-N-0C9S95	1.38
GADCJX-Tu-0BFCXU_vs_GADCJX-N-0C9S9B	GADCJX-Tu-0BFCXU	GADCJX-N-0C9S9B	1.39
GADCJY-Tu-0CDQUW_vs_GADCJY-N-0C9SAK	GADCJY-Tu-0CDQUW	GADCJY-N-0C9SAK	2.50
GADCKL-Tu-0CDQVI_vs_GADCKL-N-0C9S5O	GADCKL-Tu-0CDQVI	GADCKL-N-0C9S5O	4.75
GADCKT-Tu-0CDQWQ_vs_GADCKT-N-0C9S8F	GADCKT-Tu-0CDQWQ	GADCKT-N-0C9S8F	2.41
GADCKZ-Tu-0BFR34_vs_GADCKZ-N-0C9S7E	GADCKZ-Tu-0BFR34	GADCKZ-N-0C9S7E	1.66
GADCLD-Tu-0BHRXZ_vs_GADCLD-N-0C9S5M	GADCLD-Tu-0BHRXZ	GADCLD-N-0C9S5M	2.65
GADCLG-Tu-0CDQWZ_vs_GADCLG-N-0C9S4Y	GADCLG-Tu-0CDQWZ	GADCLG-N-0C9S4Y	2.02
GADCLR-Tu-0CDQXK_vs_GADCLR-N-0C9S4U	GADCLR-Tu-0CDQXK	GADCLR-N-0C9S4U	1.34
GADCLW-Tu-0BHS7T_vs_GADCLW-N-0C9S76	GADCLW-Tu-0BHS7T	GADCLW-N-0C9S76	1.54
GADCMA-Tu-0BHSD2_vs_GADCMA-N-0C9S7T	GADCMA-Tu-0BHSD2	GADCMA-N-0C9S7T	0.85
GADCMD-Tu-0BHS8V_vs_GADCMD-N-0C9S5D	GADCMD-Tu-0BHS8V	GADCMD-N-0C9S5D	2.65
GADCME-Tu-0BHS5M_vs_GADCME-N-0C9S7K	GADCME-Tu-0BHS5M	GADCME-N-0C9S7K	1.12
GADCMZ-Tu-0BHS3K_vs_GADCMZ-N-0C9S7H	GADCMZ-Tu-0BHS3K	GADCMZ-N-0C9S7H	2.81
GADCNA-Tu-0BI508_vs_GADCNA-N-0C9S8Y	GADCNA-Tu-0BI508	GADCNA-N-0C9S8Y	3.19
GADCNB-Tu-0CDR00_vs_GADCNB-N-0C9S7O	GADCNB-Tu-0CDR00	GADCNB-N-0C9S7O	2.00
GADCNJ-Tu-0CDR1M_vs_GADCNJ-N-0C9S58	GADCNJ-Tu-0CDR1M	GADCNJ-N-0C9S58	3.11
GADCNX-Tu-0BHJPQ_vs_GADCNX-N-0C9S87	GADCNX-Tu-0BHJPQ	GADCNX-N-0C9S87	2.91
GADCRF-Tu-0CDQZ6_vs_GADCRF-N-0C9S5N	GADCRF-Tu-0CDQZ6	GADCRF-N-0C9S5N	1.86
GADCRK-Tu-0C0Z0A_vs_GADCRK-N-0BHAET	GADCRK-Tu-0C0Z0A	GADCRK-N-0BHAET	2.46
GADFXX-Tu-0C2S67_vs_GADFXX-N-0C9S8Q	GADFXX-Tu-0C2S67	GADFXX-N-0C9S8Q	0.48
GADFYV-Tu-0CDR3G_vs_GADFYV-N-0C9S5X	GADFYV-Tu-0CDR3G	GADFYV-N-0C9S5X	1.54
GADFZF-Tu-0CDR42_vs_GADFZF-N-0C9S6R	GADFZF-Tu-0CDR42	GADFZF-N-0C9S6R	3.06
GADGAB-Tu-0CDR5A_vs_GADGAB-N-0C9S77	GADGAB-Tu-0CDR5A	GADGAB-N-0C9S77	3.22
GADGAC-Tu-0CDR5W_vs_GADGAC-N-0C9S55	GADGAC-Tu-0CDR5W	GADGAC-N-0C9S55	1.45
GADGAD-Tu-0CDR4O_vs_GADGAD-N-0C9S5F	GADGAD-Tu-0CDR4O	GADGAD-N-0C9S5F	5.06
GADGAM-Tu-0CDR6I_vs_GADGAM-N-0C9S4W	GADGAM-Tu-0CDR6I	GADGAM-N-0C9S4W	1.45
GADGAR-Tu-0CDR7Q_vs_GADGAR-N-0C9S6D	GADGAR-Tu-0CDR7Q	GADGAR-N-0C9S6D	3.47
GADGAW-Tu-0BW60X_vs_GADGAW-N-0C9S7S	GADGAW-Tu-0BW60X	GADGAW-N-0C9S7S	3.52
GADGBF-Tu-0BYKMJ_vs_GADGBF-N-0C9S5U	GADGBF-Tu-0BYKMJ	GADGBF-N-0C9S5U	3.38
GADGBU-Tu-0BWR0A_vs_GADGBU-N-0C9S65	GADGBU-Tu-0BWR0A	GADGBU-N-0C9S65	5.09
GADGBU-Tu-0CDV91_vs_GADGBU-N-0C9S65	GADGBU-Tu-0CDV91	GADGBU-N-0C9S65	3.80
GADGCM-Tu-0CDR8C_vs_GADGCM-N-0C9SAL	GADGCM-Tu-0CDR8C	GADGCM-N-0C9SAL	3.38
GADGCX-Tu-0CDRA6_vs_GADGCX-N-0C9SAN	GADGCX-Tu-0CDRA6	GADGCX-N-0C9SAN	0.28
GADGCX-Tu-0CDRAS_vs_GADGCX-N-0C9SAN	GADGCX-Tu-0CDRAS	GADGCX-N-0C9SAN	0.54
GADGDC-Tu-0BX2D6_vs_GADGDC-N-0C9S6Q	GADGDC-Tu-0BX2D6	GADGDC-N-0C9S6Q	3.68
GADGDF-Tu-0BV37I_vs_GADGDF-N-0C9S62	GADGDF-Tu-0BV37I	GADGDF-N-0C9S62	3.83
GADGDG-Tu-0CDR8Y_vs_GADGDG-N-0C9S57	GADGDG-Tu-0CDR8Y	GADGDG-N-0C9S57	1.77
GADGEM-Tu-0BVOME_vs_GADGEM-N-0C9S68	GADGEM-Tu-0BVOME	GADGEM-N-0C9S68	2.79
GADGFF-Tu-0BVOSG_vs_GADGFF-N-0C9S9P	GADGFF-Tu-0BVOSG	GADGFF-N-0C9S9P	0.69
GADGFK-Tu-0CDRC0_vs_GADGFK-N-0C9SAP	GADGFK-Tu-0CDRC0	GADGFK-N-0C9SAP	1.55
GADGGB-Tu-0CDRC8_vs_GADGGB-N-0C9S4Z	GADGGB-Tu-0CDRC8	GADGGB-N-0C9S4Z	2.55
GADGGC-Tu-0CDRCU_vs_GADGGC-N-0C9S7C	GADGGC-Tu-0CDRCU	GADGGC-N-0C9S7C	2.21
GADGGF-Tu-0BVMWG_vs_GADGGF-N-0C9S81	GADGGF-Tu-0BVMWG	GADGGF-N-0C9S81	4.70
GADGGL-Tu-0BXU5G_vs_GADGGL-N-0C9S6F	GADGGL-Tu-0BXU5G	GADGGL-N-0C9S6F	2.79
GADGGS-Tu-0BWDCS_vs_GADGGS-N-0C9S7V	GADGGS-Tu-0BWDCS	GADGGS-N-0C9S7V	1.29
GADGHG-Tu-0CDRFO_vs_GADGHG-N-0C9S5T	GADGHG-Tu-0CDRFO	GADGHG-N-0C9S5T	1.92
GADGHK-Tu-0BYKS6_vs_GADGHK-N-0C9S79	GADGHK-Tu-0BYKS6	GADGHK-N-0C9S79	1.85
GADGHL-Tu-0CDRGA_vs_GADGHL-N-0C9S78	GADGHL-Tu-0CDRGA	GADGHL-N-0C9S78	2.48
GADGHS-Tu-0BVTZX_vs_GADGHS-N-0C9S6Z	GADGHS-Tu-0BVTZX	GADGHS-N-0C9S6Z	2.92
GADGHX-Tu-0CDREO_vs_GADGHX-N-0C9SAR	GADGHX-Tu-0CDREO	GADGHX-N-0C9SAR	3.87
GADGIH-Tu-0BWR2T_vs_GADGIH-N-0C9S6P	GADGIH-Tu-0BWR2T	GADGIH-N-0C9S6P	4.56
GADGII-Tu-0CDRI4_vs_GADGII-N-0C9S7W	GADGII-Tu-0CDRI4	GADGII-N-0C9S7W	1.77
GADGIM-Tu-0BVRXH_vs_GADGIM-N-0C9S74	GADGIM-Tu-0BVRXH	GADGIM-N-0C9S74	1.66
GADGIN-Tu-0CDRHI_vs_GADGIN-N-0C9S5I	GADGIN-Tu-0CDRHI	GADGIN-N-0C9S5I	2.37
GADGIZ-Tu-0CDRIQ_vs_GADGIZ-N-0C9S5W	GADGIZ-Tu-0CDRIQ	GADGIZ-N-0C9S5W	3.37
GADGJI-Tu-0CDRJY_vs_GADGJI-N-0C9S5A	GADGJI-Tu-0CDRJY	GADGJI-N-0C9S5A	1.14
GADGKJ-Tu-0CDRKK_vs_GADGKJ-N-0C9S97	GADGKJ-Tu-0CDRKK	GADGKJ-N-0C9S97	2.72
GADGMX-Tu-0CDRL6_vs_GADGMX-N-0C9S9J	GADGMX-Tu-0CDRL6	GADGMX-N-0C9S9J	0.84
