Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
FARP2	0	0	0	0	2	0	0	0	0	2	2	2
FASN	0	0	0	0	2	0	0	0	0	2	2	2
FBLN2	0	0	0	0	1	0	0	1	0	2	2	2
FBRS	0	0	0	0	1	0	0	0	1	2	2	2
FBXL13	0	1	0	0	1	0	0	0	0	2	2	2
FBXL7	0	0	0	0	2	0	0	0	0	2	2	2
FBXO47	0	0	0	0	2	0	0	0	0	2	2	2
FBXW10	0	0	0	0	0	2	0	0	0	2	2	2
FBXW7	0	0	0	0	2	0	0	0	0	2	2	2
FCAMR	0	0	0	0	2	0	0	0	0	2	2	2
FCMR	0	0	0	0	1	1	0	0	0	2	2	2
FCN2	0	0	0	0	1	0	0	1	0	2	2	2
FEM1B	0	0	0	0	2	0	0	0	0	2	2	2
FER1L5	0	0	0	0	1	1	0	0	0	2	2	2
FGFR3	0	0	0	0	1	1	0	0	0	2	2	2
FGGY	0	0	0	0	0	0	0	2	0	2	2	2
FHAD1	1	1	0	0	0	0	0	0	0	2	2	2
FHIP2B	1	0	0	0	1	0	0	0	0	2	2	2
FIP1L1	2	0	0	0	0	0	0	0	0	2	2	2
FKBP10	0	0	0	0	2	0	0	0	0	2	2	2
FKBP15	0	0	0	0	2	0	0	0	0	2	2	2
FKBP6	0	1	0	0	0	0	0	1	0	2	2	2
FLACC1	0	0	0	0	0	2	0	0	0	2	2	2
FLNC	0	0	0	0	2	0	0	0	0	2	2	2
FOXE1	0	0	0	0	2	0	0	0	0	2	2	2
FOXF2	0	0	0	0	2	0	0	0	0	2	2	2
FOXK1	0	0	0	0	0	1	0	0	1	2	2	2
FOXP1	0	0	0	0	1	0	0	1	0	2	2	2
FOXP2	0	0	0	0	2	0	0	0	0	2	2	2
FRMD4A	0	0	0	0	2	0	0	0	0	2	2	2
FRMPD1	0	0	0	0	1	0	0	1	0	2	2	2
FRMPD3	0	0	0	0	0	2	0	0	0	2	2	2
FRMPD4	0	0	0	0	2	0	0	0	0	2	2	2
FRRS1L	0	0	0	0	2	0	0	0	0	2	2	2
FSCB	0	0	0	0	2	0	0	0	0	2	2	2
FSCN2	0	0	0	0	1	1	0	0	0	2	2	2
FURIN	0	0	0	0	2	0	0	0	0	2	2	2
FUT10	0	0	0	0	2	0	0	0	0	2	2	2
GAA	0	0	0	0	2	0	0	0	0	2	2	2
GABRA4	0	0	1	0	1	0	0	0	0	2	2	2
GABRA5	0	0	0	0	2	0	0	0	0	2	2	2
GABRG1	0	0	0	0	2	0	0	0	0	2	2	2
GAD2	0	0	0	0	2	0	0	0	0	2	2	2
GAGE13	2	0	0	0	0	0	0	0	0	2	2	2
GAL3ST3	0	0	0	0	2	0	0	0	0	2	2	2
GAL3ST4	0	0	0	0	2	0	0	0	0	2	2	2
GALK2	0	0	0	0	1	1	0	0	0	2	2	2
GALNS	0	0	0	0	2	0	0	0	0	2	2	2
GALNT16	0	0	0	0	2	0	0	0	0	2	2	2
GALNT5	0	0	0	0	2	0	0	0	0	2	2	2
GALNT6	0	0	0	0	2	0	0	0	0	2	2	2
GALR2	0	0	0	0	1	1	0	0	0	2	2	2
GAN	1	0	0	0	1	0	0	0	0	2	2	2
GANC	0	0	0	0	2	0	0	0	0	2	2	2
GARNL3	0	0	0	0	2	0	0	0	0	2	2	2
GAS6	0	0	0	0	2	0	0	0	0	2	2	2
GATA4	0	0	0	0	1	0	0	0	1	2	2	2
GATA6	0	1	1	0	0	0	0	0	0	2	2	2
GBP4	0	0	0	0	1	0	0	1	0	2	2	2
GCH1	0	0	0	0	2	0	0	0	0	2	2	2
GDF1	0	0	0	0	2	0	0	0	0	2	2	2
GDF2	0	0	0	0	2	0	0	0	0	2	2	2
GDF7	0	0	0	0	2	0	0	0	0	2	2	2
GDPD4	1	0	0	0	0	0	0	1	0	2	2	2
GDPGP1	1	0	0	0	1	0	0	0	0	2	2	2
GFM1	0	0	0	0	1	0	0	1	0	2	2	2
GFRA4	0	0	0	0	0	0	0	2	0	2	2	2
GIMAP4	0	0	0	0	1	0	1	0	0	2	2	2
GINS1	2	0	0	0	0	0	0	0	0	2	2	2
GIPC1	1	0	0	0	0	0	0	1	0	2	2	2
GJB2	2	0	0	0	0	0	0	0	0	2	2	2
GJC2	0	0	0	0	2	0	0	0	0	2	2	2
GLP1R	0	0	0	0	2	0	0	0	0	2	2	2
GLP2R	0	0	0	0	2	0	0	0	0	2	2	2
GMEB1	0	0	0	0	1	0	0	1	0	2	2	2
GNB1L	0	0	0	0	2	0	0	0	0	2	2	2
GNPTG	1	0	0	0	1	0	0	0	0	2	2	2
GOLGA6A	0	0	0	0	1	0	0	1	0	2	2	2
GOLGA6C	0	0	0	0	0	2	0	0	0	2	2	2
GOLGA6L7	0	2	0	0	0	0	0	0	0	2	2	2
GOLGA8O	2	0	0	0	0	0	0	0	0	2	2	2
GOLGA8S	0	0	0	0	1	1	0	0	0	2	2	2
GOLIM4	0	0	0	0	2	0	0	0	0	2	2	2
GORASP2	0	0	0	0	2	0	0	0	0	2	2	2
GPALPP1	0	0	0	0	1	0	0	1	0	2	2	2
GPAT2	0	0	0	0	1	1	0	0	0	2	2	2
GPAT4	0	0	0	0	1	0	0	1	0	2	2	2
GPC1	0	0	0	0	2	0	0	0	0	2	2	2
GPC6	0	0	0	0	2	0	0	0	0	2	2	2
GPLD1	0	0	0	0	2	0	0	0	0	2	2	2
GPNMB	1	0	0	0	1	0	0	0	0	2	2	2
GPR150	0	0	0	0	2	0	0	0	0	2	2	2
GPR183	0	0	0	0	2	0	0	0	0	2	2	2
GPR50	0	0	0	0	2	0	0	0	0	2	2	2
GPRASP1	0	0	0	0	2	0	0	0	0	2	2	2
GPRASP2	0	0	0	0	2	0	0	0	0	2	2	2
GPRC5A	1	0	0	0	1	0	0	0	0	2	2	2
GPSM1	0	0	0	0	2	0	0	0	0	2	2	2
GRAP2	0	0	0	0	1	1	0	0	0	2	2	2
GRIK3	0	0	0	0	2	0	0	0	0	2	2	2
GRIN2A	0	0	0	0	2	0	0	0	0	2	2	2
GRIN2C	0	0	0	0	1	0	0	1	0	2	2	2
GRIN2D	0	0	0	0	2	0	0	0	0	2	2	2
GRIP2	0	0	0	0	1	0	0	1	0	2	2	2
GSDMC	0	0	0	0	0	1	0	1	0	2	2	2
GSDME	0	1	0	0	1	0	0	0	0	2	2	2
GSE1	0	0	0	0	2	0	0	0	0	2	2	2
GSTA5	0	0	0	0	0	1	0	1	0	2	2	2
GTF2E1	0	0	0	0	2	0	0	0	0	2	2	2
GTF2H1	0	0	0	0	2	0	0	0	0	2	2	2
GTF2IRD2	1	0	0	0	0	0	0	0	1	2	2	2
GTPBP4	0	0	0	0	2	0	0	0	0	2	2	2
GUCY2F	0	0	0	0	1	0	0	1	0	2	2	2
H4C1	0	0	0	0	1	1	0	0	0	2	2	2
HAGH	1	0	0	0	1	0	0	0	0	2	2	2
HARS2	0	0	0	0	1	0	0	1	0	2	2	2
HAVCR1	0	0	0	0	1	0	0	1	0	2	2	2
HCN4	0	0	0	0	2	0	0	0	0	2	2	2
HDAC11	0	0	0	0	2	0	0	0	0	2	2	2
HEATR5A	0	0	0	0	2	0	0	0	0	2	2	2
HECTD1	0	0	0	0	2	0	0	0	0	2	2	2
HELZ2	0	0	0	0	2	0	0	0	0	2	2	2
HEPH	0	0	0	0	2	0	0	0	0	2	2	2
HERC1	0	0	0	0	2	0	0	0	0	2	2	2
HERC2	0	0	0	0	1	1	0	0	0	2	2	2
HERC6	0	0	0	0	2	0	0	0	0	2	2	2
HES4	0	0	0	0	1	1	0	0	0	2	2	2
HGFAC	0	0	0	0	2	0	0	0	0	2	2	2
HIC1	0	0	0	0	2	0	0	0	0	2	2	2
HIRA	0	0	0	0	2	0	0	0	0	2	2	2
HIVEP1	0	0	0	0	2	0	0	0	0	2	2	2
HKDC1	0	0	0	0	2	0	0	0	0	2	2	2
HLA-DOA	0	0	0	0	2	0	0	0	0	2	2	2
HLCS	0	0	0	0	2	0	0	0	0	2	2	2
HMG20A	0	0	0	0	1	1	0	0	0	2	2	2
HMGA2	0	0	0	0	0	2	0	0	0	2	2	2
HMGN5	0	0	1	0	1	0	0	0	0	2	2	2
HMMR	0	0	0	0	2	0	0	0	0	2	2	2
HMSD	2	0	0	0	0	0	0	0	0	2	2	2
HNF4G	0	0	0	0	2	0	0	0	0	2	2	2
HNRNPM	0	0	0	0	2	0	0	0	0	2	2	2
HOXA11	0	0	0	0	2	0	0	0	0	2	2	2
HOXA9	0	0	0	0	2	0	0	0	0	2	2	2
HPD	0	0	0	0	2	0	0	0	0	2	2	2
HPSE	0	0	0	0	2	0	0	0	0	2	2	2
HR	0	0	0	0	2	0	0	0	0	2	2	2
HROB	0	0	0	0	2	0	0	0	0	2	2	2
HS2ST1	0	0	0	0	2	0	0	0	0	2	2	2
HSD17B4	0	0	0	0	0	0	2	0	0	2	2	2
HTR2A	0	0	0	0	0	2	0	0	0	2	2	2
IARS1	0	0	0	0	2	0	0	0	0	2	2	2
ICE1	0	0	0	0	2	0	0	0	0	2	2	2
IFNL1	0	0	0	0	2	0	0	0	0	2	2	2
IGF1R	0	0	0	0	2	0	0	0	0	2	2	2
IGF2R	0	0	0	0	2	0	0	0	0	2	2	2
IGFBPL1	0	0	0	0	2	0	0	0	0	2	2	2
IGFLR1	1	0	0	0	1	0	0	0	0	2	2	2
IGHG2	0	0	0	0	2	0	0	0	0	2	2	2
IGHM	0	0	0	0	2	0	0	0	0	2	2	2
IGSF1	0	0	0	0	2	0	0	0	0	2	2	2
IGSF10	0	1	0	0	1	0	0	0	0	2	2	2
IGSF5	0	0	0	0	1	1	0	0	0	2	2	2
IGSF9B	0	0	0	0	2	0	0	0	0	2	2	2
IKBKB	0	0	0	0	2	0	0	0	0	2	2	2
IKZF4	0	0	0	0	2	0	0	0	0	2	2	2
IL11RA	0	0	0	0	1	0	0	1	0	2	2	2
IL12RB2	0	0	0	0	2	0	0	0	0	2	2	2
IL16	0	0	0	0	1	0	0	1	0	2	2	2
IL17RC	0	0	0	0	1	1	0	0	0	2	2	2
IL1RL1	0	0	0	0	2	0	0	0	0	2	2	2
IL21R	0	0	0	0	1	1	0	0	0	2	2	2
IL6ST	0	0	0	0	2	0	0	0	0	2	2	2
IMPDH1	0	0	0	0	1	1	0	0	0	2	2	2
ING3	0	0	0	0	2	0	0	0	0	2	2	2
INHBB	0	0	0	0	2	0	0	0	0	2	2	2
INPP1	0	0	0	0	2	0	0	0	0	2	2	2
INSRR	0	0	0	0	2	0	0	0	0	2	2	2
IP6K3	0	0	0	0	2	0	0	0	0	2	2	2
IQCB1	0	0	0	0	2	0	0	0	0	2	2	2
IQSEC1	0	0	0	0	2	0	0	0	0	2	2	2
IRAK2	1	0	0	0	1	0	0	0	0	2	2	2
IRS2	0	0	0	0	2	0	0	0	0	2	2	2
IRX2	0	0	0	0	2	0	0	0	0	2	2	2
ITGA7	0	0	0	0	2	0	0	0	0	2	2	2
ITGA8	0	0	0	0	2	0	0	0	0	2	2	2
ITGA9	0	0	0	0	1	0	0	1	0	2	2	2
ITGAE	0	0	0	0	2	0	0	0	0	2	2	2
ITIH6	0	1	0	0	1	0	0	0	0	2	2	2
ITLN1	0	0	0	0	2	0	0	0	0	2	2	2
ITPKB	0	0	0	0	2	0	0	0	0	2	2	2
ITPKC	0	0	0	0	2	0	0	0	0	2	2	2
ITPRID1	0	0	0	0	1	0	0	1	0	2	2	2
ITPRIPL1	0	0	0	0	2	0	0	0	0	2	2	2
IZUMO1R	0	0	0	0	1	0	0	1	0	2	2	2
JMJD8	0	0	0	0	1	0	0	1	0	2	2	2
JPH4	0	0	0	0	2	0	0	0	0	2	2	2
KALRN	0	0	0	0	1	1	0	0	0	2	2	2
KANK4	0	0	0	0	2	0	0	0	0	2	2	2
KANSL1L	1	0	0	0	1	0	0	0	0	2	2	2
KAT8	0	0	0	0	2	0	0	0	0	2	2	2
KATNB1	0	0	0	0	2	0	0	0	0	2	2	2
KAZN	0	0	0	0	1	0	0	1	0	2	2	2
KCNAB1	0	0	0	0	2	0	0	0	0	2	2	2
KCNAB3	0	0	0	0	0	0	0	2	0	2	2	2
KCNH2	0	0	0	0	2	0	0	0	0	2	2	2
KCNH7	0	0	0	0	2	0	0	0	0	2	2	2
KCNK13	0	0	0	0	2	0	0	0	0	2	2	2
KCNK4	0	0	0	0	2	0	0	0	0	2	2	2
KCNQ1	0	1	0	0	1	0	0	0	0	2	2	2
KCNQ4	0	0	0	0	0	0	0	0	2	2	2	2
KCNT2	0	0	0	0	0	2	0	0	0	2	2	2
KCP	1	0	0	0	1	0	0	0	0	2	2	2
KCTD19	0	0	0	0	0	0	1	1	0	2	2	2
KDM3A	0	0	0	0	2	0	0	0	0	2	2	2
KDM4C	0	0	0	0	2	0	0	0	0	2	2	2
KIAA0825	1	0	0	0	1	0	0	0	0	2	2	2
KIAA1210	0	0	0	0	2	0	0	0	0	2	2	2
KIAA1328	2	0	0	0	0	0	0	0	0	2	2	2
KIAA1549	0	0	0	0	2	0	0	0	0	2	2	2
KIAA1586	1	0	0	0	1	0	0	0	0	2	2	2
KIAA1755	0	0	0	0	0	2	0	0	0	2	2	2
KIDINS220	0	0	0	0	2	0	0	0	0	2	2	2
KIF15	0	0	0	0	2	0	0	0	0	2	2	2
KIF2A	0	0	0	0	2	0	0	0	0	2	2	2
KIF2B	0	0	0	0	2	0	0	0	0	2	2	2
KIFC3	0	0	0	0	2	0	0	0	0	2	2	2
KIR2DS4	0	0	0	0	2	0	0	0	0	2	2	2
KLB	1	0	0	0	1	0	0	0	0	2	2	2
KLC4	0	0	0	0	2	0	0	0	0	2	2	2
KLF14	0	0	0	0	2	0	0	0	0	2	2	2
KLF2	0	0	0	0	1	1	0	0	0	2	2	2
KLHDC7A	0	0	0	0	2	0	0	0	0	2	2	2
KLHL30	0	0	0	0	2	0	0	0	0	2	2	2
KLHL33	0	0	0	0	2	0	0	0	0	2	2	2
KLHL36	0	0	0	0	2	0	0	0	0	2	2	2
KLHL38	0	0	0	0	2	0	0	0	0	2	2	2
KLHL40	0	0	0	0	2	0	0	0	0	2	2	2
KLK14	0	0	0	0	1	1	0	0	0	2	2	2
KLRK1	0	1	0	0	0	1	0	0	0	2	2	2
KMT2A	1	0	0	0	1	0	0	0	0	2	2	2
KMT2B	1	0	0	0	1	0	0	0	0	2	2	2
KMT2D	0	0	0	0	2	0	0	0	0	2	2	2
KMT5B	0	0	0	0	2	0	0	0	0	2	2	2
KNL1	0	0	0	0	2	0	0	0	0	2	2	2
KPNA1	0	0	0	0	1	1	0	0	0	2	2	2
KPRP	0	1	0	0	1	0	0	0	0	2	2	2
KRT10	0	0	0	0	1	1	0	0	0	2	2	2
KRT24	0	1	0	0	0	0	0	1	0	2	2	2
KRT28	0	0	0	0	2	0	0	0	0	2	2	2
KRT36	1	0	0	0	0	1	0	0	0	2	2	2
KRT38	0	0	0	0	2	0	0	0	0	2	2	2
KRT82	0	0	0	0	1	1	0	0	0	2	2	2
KRT9	0	0	0	0	2	0	0	0	0	2	2	2
KRTAP10-1	0	0	0	0	2	0	0	0	0	2	2	2
KRTAP13-1	2	0	0	0	0	0	0	0	0	2	2	2
KRTAP9-1	0	0	0	0	0	2	0	0	0	2	2	2
KYAT3	0	0	0	0	1	0	0	1	0	2	2	2
L3MBTL1	0	0	0	0	2	0	0	0	0	2	2	2
LAGE3	0	0	0	0	2	0	0	0	0	2	2	2
LAMB2	0	0	0	0	2	0	0	0	0	2	2	2
LAMB3	0	0	0	0	2	0	0	0	0	2	2	2
LAMB4	0	0	0	0	2	0	0	0	0	2	2	2
LCORL	0	0	0	0	1	1	0	0	0	2	2	2
LDHC	0	0	0	0	1	1	0	0	0	2	2	2
LDLRAP1	0	0	0	0	0	0	0	2	0	2	2	2
LETMD1	0	0	0	0	2	0	0	0	0	2	2	2
LIMCH1	0	0	0	0	2	0	0	0	0	2	2	2
LIPM	1	0	0	0	1	0	0	0	0	2	2	2
LMLN	0	0	0	0	1	0	0	1	0	2	2	2
LMNTD1	1	0	0	0	0	1	0	0	0	2	2	2
LNX1	0	0	0	0	1	0	0	1	0	2	2	2
LONP1	0	0	0	0	2	0	0	0	0	2	2	2
LONRF3	0	0	0	0	2	0	0	0	0	2	2	2
LPIN1	1	0	0	0	0	1	0	0	0	2	2	2
LPO	0	0	0	0	2	0	0	0	0	2	2	2
LPP	0	0	0	0	2	0	0	0	0	2	2	2
LRCH4	0	0	0	0	1	0	0	1	0	2	2	2
LRFN1	0	0	0	0	2	0	0	0	0	2	2	2
LRFN2	0	0	0	0	2	0	0	0	0	2	2	2
LRFN3	0	0	0	0	2	0	0	0	0	2	2	2
LRIG2	0	0	0	0	1	1	0	0	0	2	2	2
LRIT2	0	0	0	0	1	0	0	1	0	2	2	2
LRP12	0	0	0	0	2	0	0	0	0	2	2	2
LRP3	0	0	0	0	2	0	0	0	0	2	2	2
LRRC36	0	0	0	0	2	0	0	0	0	2	2	2
LRRC3C	0	0	0	0	2	0	0	0	0	2	2	2
LRRC49	0	0	0	0	2	0	0	0	0	2	2	2
LRRC4B	0	0	0	0	2	0	0	0	0	2	2	2
LRRC7	0	0	0	0	2	0	0	0	0	2	2	2
LRRC8A	0	0	0	0	2	0	0	0	0	2	2	2
LRRCC1	0	1	0	0	1	0	0	0	0	2	2	2
LRRIQ1	0	0	0	0	0	0	0	2	0	2	2	2
LRRK1	0	0	0	0	2	0	0	0	0	2	2	2
LTN1	0	1	0	0	1	0	0	0	0	2	2	2
LY75	0	0	0	0	1	1	0	0	0	2	2	2
LYPD6B	0	0	0	0	2	0	0	0	0	2	2	2
LYSMD1	0	0	0	0	2	0	0	0	0	2	2	2
MAB21L1	0	0	0	0	1	1	0	0	0	2	2	2
MACO1	0	0	0	0	2	0	0	0	0	2	2	2
MAGEA11	0	0	0	0	2	0	0	0	0	2	2	2
MAGEB6	0	0	0	0	2	0	0	0	0	2	2	2
MAGEC2	0	0	0	0	2	0	0	0	0	2	2	2
MAGEC3	0	0	0	0	0	2	0	0	0	2	2	2
MAL	0	1	0	0	1	0	0	0	0	2	2	2
MAML1	0	0	0	0	1	0	0	1	0	2	2	2
MAN1C1	0	0	0	0	2	0	0	0	0	2	2	2
MANEAL	0	0	0	0	2	0	0	0	0	2	2	2
MAP2K4	0	0	0	0	1	0	0	1	0	2	2	2
MAP3K1	0	0	0	0	2	0	0	0	0	2	2	2
MAP3K5	0	0	0	0	1	0	0	1	0	2	2	2
MAP3K8	0	0	0	0	2	0	0	0	0	2	2	2
MAP4K1	0	0	0	0	2	0	0	0	0	2	2	2
MAP4K3	0	0	0	0	1	1	0	0	0	2	2	2
MAPKBP1	0	0	0	0	2	0	0	0	0	2	2	2
MAPT	0	0	0	0	2	0	0	0	0	2	2	2
MARK2	0	0	0	0	1	1	0	0	0	2	2	2
MASP2	0	0	0	0	1	1	0	0	0	2	2	2
MAST2	1	0	0	0	1	0	0	0	0	2	2	2
MATN1	0	0	0	0	1	1	0	0	0	2	2	2
MAZ	0	0	0	0	1	1	0	0	0	2	2	2
MBLAC2	0	0	0	0	1	1	0	0	0	2	2	2
MCM7	0	0	0	0	1	0	0	1	0	2	2	2
MCMBP	0	0	0	0	1	0	0	1	0	2	2	2
MCRS1	0	0	0	0	2	0	0	0	0	2	2	2
MDGA1	0	0	0	0	2	0	0	0	0	2	2	2
MDGA2	0	0	0	0	2	0	0	0	0	2	2	2
MED1	0	0	0	0	2	0	0	0	0	2	2	2
MED14	0	0	0	0	2	0	0	0	0	2	2	2
MED23	0	0	0	0	1	1	0	0	0	2	2	2
MED24	0	0	0	0	1	1	0	0	0	2	2	2
MEGF6	0	0	0	0	2	0	0	0	0	2	2	2
MEGF8	0	0	0	0	2	0	0	0	0	2	2	2
MET	0	0	0	0	2	0	0	0	0	2	2	2
METAP2	0	0	0	0	2	0	0	0	0	2	2	2
METTL24	0	0	0	0	1	1	0	0	0	2	2	2
MFAP3	0	0	0	0	2	0	0	0	0	2	2	2
MFN1	0	0	0	0	2	0	0	0	0	2	2	2
MFSD12	0	0	0	0	0	0	0	0	2	2	2	2
MFSD4A	0	0	0	0	2	0	0	0	0	2	2	2
MFSD4B	1	0	0	0	1	0	0	0	0	2	2	2
MFSD6L	1	0	0	0	1	0	0	0	0	2	2	2
MFSD9	0	0	0	0	0	2	0	0	0	2	2	2
MGA	1	0	0	0	1	0	0	0	0	2	2	2
MGST2	0	0	0	0	1	1	0	0	0	2	2	2
MIA3	0	0	0	0	1	1	0	0	0	2	2	2
MICAL3	0	0	0	0	1	1	0	0	0	2	2	2
MICALL1	0	0	0	0	2	0	0	0	0	2	2	2
MID1	0	0	0	0	1	0	0	1	0	2	2	2
MIER2	0	0	0	0	2	0	0	0	0	2	2	2
MIGA2	0	0	0	0	2	0	0	0	0	2	2	2
MIIP	1	0	0	0	0	1	0	0	0	2	2	2
MINDY2	0	0	0	0	1	1	0	0	0	2	2	2
MIS18BP1	2	0	0	0	0	0	0	0	0	2	2	2
MLLT10	0	0	0	0	2	0	0	0	0	2	2	2
MLXIP	0	0	0	0	2	0	0	0	0	2	2	2
MMP28	0	0	0	0	2	0	0	0	0	2	2	2
MMRN1	0	0	0	0	2	0	0	0	0	2	2	2
MMRN2	0	0	0	0	2	0	0	0	0	2	2	2
MMS22L	0	0	0	0	2	0	0	0	0	2	2	2
MON2	0	0	0	0	2	0	0	0	0	2	2	2
MOV10	0	0	0	0	2	0	0	0	0	2	2	2
MOV10L1	0	0	0	0	2	0	0	0	0	2	2	2
MPDZ	0	0	0	0	2	0	0	0	0	2	2	2
MPHOSPH8	0	0	0	0	2	0	0	0	0	2	2	2
MPI	0	0	0	0	2	0	0	0	0	2	2	2
MPP3	0	0	0	0	0	0	0	2	0	2	2	2
MPZL3	2	0	0	0	0	0	0	0	0	2	2	2
MR1	0	0	0	0	1	1	0	0	0	2	2	2
MRO	2	0	0	0	0	0	0	0	0	2	2	2
MROH2B	1	1	0	0	0	0	0	0	0	2	2	2
MRPS9	0	0	0	0	1	0	0	1	0	2	2	2
MRTFB	0	0	0	0	2	0	0	0	0	2	2	2
MS4A18	0	0	0	0	1	1	0	0	0	2	2	2
MSH6	0	0	0	0	2	0	0	0	0	2	2	2
MSI1	0	0	0	0	1	1	0	0	0	2	2	2
MTCH2	0	0	0	0	2	0	0	0	0	2	2	2
MTFR1	0	0	0	0	2	0	0	0	0	2	2	2
MTFR2	0	0	0	0	2	0	0	0	0	2	2	2
MTHFD1	0	0	0	0	2	0	0	0	0	2	2	2
MTHFD1L	0	0	0	0	2	0	0	0	0	2	2	2
MTMR12	0	0	0	0	2	0	0	0	0	2	2	2
MTMR4	0	0	1	0	1	0	0	0	0	2	2	2
MTMR6	0	0	0	0	2	0	0	0	0	2	2	2
MTNR1B	0	0	0	0	2	0	0	0	0	2	2	2
MTR	1	0	0	0	1	0	0	0	0	2	2	2
MTSS2	1	0	0	0	1	0	0	0	0	2	2	2
MTUS1	0	0	0	0	1	1	0	0	0	2	2	2
MTUS2	0	0	0	0	1	0	0	1	0	2	2	2
MUCL1	0	0	0	0	0	1	0	1	0	2	2	2
MYB	0	0	0	0	1	1	0	0	0	2	2	2
MYBPC1	0	0	0	0	2	0	0	0	0	2	2	2
MYH1	0	0	0	0	2	0	0	0	0	2	2	2
MYH11	0	0	0	0	2	0	0	0	0	2	2	2
MYH6	0	0	0	0	2	0	0	0	0	2	2	2
MYH8	0	0	0	0	1	0	0	1	0	2	2	2
MYO1A	0	0	0	0	2	0	0	0	0	2	2	2
MYO1F	0	0	0	0	1	0	0	1	0	2	2	2
MYO9B	0	0	1	0	1	0	0	0	0	2	2	2
MYOM3	0	0	0	0	1	1	0	0	0	2	2	2
MYOT	0	0	0	0	2	0	0	0	0	2	2	2
MYOZ3	0	0	0	0	1	0	0	1	0	2	2	2
MYT1	0	0	0	0	2	0	0	0	0	2	2	2
MYZAP	0	0	0	0	1	0	0	1	0	2	2	2
N4BP2	0	0	0	0	2	0	0	0	0	2	2	2
N4BP2L2	1	0	0	0	1	0	0	0	0	2	2	2
NAALAD2	0	0	0	0	1	1	0	0	0	2	2	2
NALF2	0	0	0	0	2	0	0	0	0	2	2	2
NANOG	2	0	0	0	0	0	0	0	0	2	2	2
NARF	0	0	0	0	0	0	0	1	1	2	2	2
NAV1	0	0	0	0	2	0	0	0	0	2	2	2
NBAS	0	0	0	0	1	0	0	1	0	2	2	2
NBEAL1	1	0	0	0	1	0	0	0	0	2	2	2
NBPF10	0	0	0	0	0	2	0	0	0	2	2	2
NBPF15	0	0	0	0	1	1	0	0	0	2	2	2
NBPF3	0	0	0	0	0	2	0	0	0	2	2	2
NCAM2	0	0	0	0	1	1	0	0	0	2	2	2
NCOA2	0	0	0	0	2	0	0	0	0	2	2	2
NCOR1	0	0	0	0	2	0	0	0	0	2	2	2
NCOR2	0	0	0	0	2	0	0	0	0	2	2	2
NCR3	0	0	0	0	1	1	0	0	0	2	2	2
NCR3LG1	0	0	0	0	1	0	0	1	0	2	2	2
NCSTN	0	0	0	0	2	0	0	0	0	2	2	2
NDC1	0	0	0	0	2	0	0	0	0	2	2	2
NDOR1	0	0	0	0	2	0	0	0	0	2	2	2
NDST4	0	0	0	0	1	1	0	0	0	2	2	2
NECAB1	0	0	0	0	1	1	0	0	0	2	2	2
NEFM	0	0	0	0	2	0	0	0	0	2	2	2
NEU2	0	0	0	0	2	0	0	0	0	2	2	2
NEUROD6	0	0	0	0	2	0	0	0	0	2	2	2
NFAT5	0	0	0	0	2	0	0	0	0	2	2	2
NFIA	0	0	0	0	2	0	0	0	0	2	2	2
NFIC	0	0	0	0	2	0	0	0	0	2	2	2
NGFR	0	0	1	0	1	0	0	0	0	2	2	2
NGLY1	0	0	0	0	0	1	0	1	0	2	2	2
NHLH1	0	0	0	0	1	1	0	0	0	2	2	2
NHSL3	0	0	0	0	1	1	0	0	0	2	2	2
NID1	0	0	0	0	2	0	0	0	0	2	2	2
NIPSNAP3A	1	0	0	0	0	1	0	0	0	2	2	2
NIT2	0	0	0	0	2	0	0	0	0	2	2	2
NKAP	0	0	0	0	1	1	0	0	0	2	2	2
NKRF	0	0	0	0	2	0	0	0	0	2	2	2
NLRP11	0	0	0	0	2	0	0	0	0	2	2	2
NLRP6	0	0	0	0	2	0	0	0	0	2	2	2
NLRP8	0	0	0	0	2	0	0	0	0	2	2	2
NOL4	0	0	0	0	2	0	0	0	0	2	2	2
NOL8	0	0	0	0	1	0	0	1	0	2	2	2
NOL9	0	0	0	0	2	0	0	0	0	2	2	2
NOS2	1	0	0	0	1	0	0	0	0	2	2	2
NOSTRIN	0	0	0	0	1	1	0	0	0	2	2	2
NOTCH2NLR	0	0	0	0	2	0	0	0	0	2	2	2
NOTCH3	0	0	0	0	1	1	0	0	0	2	2	2
NOVA1	0	0	0	0	2	0	0	0	0	2	2	2
NOXO1	2	0	0	0	0	0	0	0	0	2	2	2
NPAS2	0	0	0	0	1	1	0	0	0	2	2	2
NPAS4	0	0	0	0	2	0	0	0	0	2	2	2
NPC1L1	0	0	0	0	2	0	0	0	0	2	2	2
NPHP3	0	0	0	0	2	0	0	0	0	2	2	2
NPIPA1	0	0	0	0	1	1	0	0	0	2	2	2
NPIPB15	0	0	0	0	1	1	0	0	0	2	2	2
NPW	0	0	0	0	2	0	0	0	0	2	2	2
NR0B2	0	0	0	0	1	0	0	0	1	2	2	2
NRAP	0	0	0	0	2	0	0	0	0	2	2	2
NRDE2	0	0	0	0	2	0	0	0	0	2	2	2
NRG2	0	0	0	0	1	0	0	1	0	2	2	2
