Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
CFAP141	6	0	0	0	0	0	0	0	0	6	6	6
DLEC1	1	1	0	0	2	0	0	2	0	6	6	6
DNAH3	0	0	0	0	5	1	0	0	0	6	6	6
DNAH6	1	0	0	0	4	1	0	0	0	6	6	6
DNAI7	0	0	0	0	3	0	0	3	0	6	6	6
EFCAB5	0	0	0	0	3	1	0	2	0	6	6	6
ENST00000696174	0	0	0	0	5	0	0	1	0	6	6	6
ERCC6L	1	0	0	0	5	0	0	0	0	6	6	6
FAM149A	0	6	0	0	0	0	0	0	0	6	6	6
FSIP2	0	0	0	0	5	1	0	0	0	6	6	6
GOLGA6L2	0	3	0	0	2	1	0	0	0	6	6	6
HEPHL1	0	0	0	0	5	0	0	1	0	6	6	6
KCNH5	0	0	0	0	6	0	0	0	0	6	6	6
KMT2C	0	0	0	0	5	1	0	0	0	6	6	6
LAMA1	1	0	0	0	5	0	0	0	0	6	6	6
MROH6	0	0	0	0	5	1	0	0	0	6	6	6
MUC12	1	0	0	0	3	2	0	0	0	6	6	6
MYH14	0	0	0	0	6	0	0	0	0	6	6	6
NBPF14	1	0	0	0	4	1	0	0	0	6	6	6
NOMO1	0	0	0	0	3	0	0	3	0	6	6	6
OPLAH	0	0	0	0	6	0	0	0	0	6	6	6
OR52N5	6	0	0	0	0	0	0	0	0	6	6	6
PEG3	0	0	0	0	6	0	0	0	0	6	6	6
PKD1L3	0	0	0	0	0	5	0	1	0	6	6	6
PPIAL4D	0	0	0	0	4	2	0	0	0	6	6	6
PRAMEF13	0	0	0	0	0	6	0	0	0	6	6	6
PREX1	0	0	0	0	5	0	0	1	0	6	6	6
RYR3	0	0	0	0	5	0	0	1	0	6	6	6
SDHA	5	0	0	0	1	0	0	0	0	6	6	6
SPATA31H1	0	0	0	0	6	0	0	0	0	6	6	6
SREK1IP1	1	5	0	0	0	0	0	0	0	6	6	6
TAS2R30	0	6	0	0	0	0	0	0	0	6	6	6
TDRD6	1	1	1	0	3	0	0	0	0	6	6	6
TTC6	0	0	0	0	4	0	0	2	0	6	6	6
VPS13C	0	0	0	0	6	0	0	0	0	6	6	6
ZBED3	0	0	0	0	6	0	0	0	0	6	6	6
ZNF717	2	3	0	0	1	0	0	0	0	6	6	6
DPP6	0	0	0	0	7	0	0	0	0	7	5	5
ABCA2	0	0	0	0	5	1	0	0	0	6	5	5
ABCA4	0	0	0	0	4	2	0	0	0	6	5	5
ANKRD30B	1	0	0	0	4	1	0	0	0	6	5	5
CBARP	0	0	0	0	6	0	0	0	0	6	5	5
CDH23	0	0	0	0	6	0	0	0	0	6	5	5
COL22A1	0	0	0	0	6	0	0	0	0	6	5	5
DNAH8	1	0	0	0	4	0	0	1	0	6	5	5
DSCAM	0	0	0	0	5	0	0	1	0	6	5	5
FCGBP	0	1	0	0	5	0	0	0	0	6	5	5
ITPR3	1	0	0	0	5	0	0	0	0	6	5	5
LILRA6	0	0	0	0	6	0	0	0	0	6	5	5
MTOR	0	0	1	0	5	0	0	0	0	6	5	5
PDZD2	0	0	1	0	5	0	0	0	0	6	5	5
PIK3CA	0	0	0	0	6	0	0	0	0	6	5	5
PKD1L2	0	0	0	0	6	0	0	0	0	6	5	5
SMC6	0	0	0	0	0	0	0	6	0	6	5	5
UNC80	0	0	0	0	6	0	0	0	0	6	5	5
ABHD16B	0	4	0	0	1	0	0	0	0	5	5	5
ACOT11	1	0	0	0	3	0	0	1	0	5	5	5
ADAM8	2	0	0	0	2	1	0	0	0	5	5	5
AHCTF1	0	0	0	0	3	0	0	2	0	5	5	5
AIM2	2	3	0	0	0	0	0	0	0	5	5	5
AK9	1	0	0	0	1	1	0	2	0	5	5	5
AKAP13	0	0	0	0	5	0	0	0	0	5	5	5
ANO9	1	0	0	0	4	0	0	0	0	5	5	5
APC2	0	0	0	0	4	0	0	1	0	5	5	5
BSN	0	1	1	0	3	0	0	0	0	5	5	5
C1orf167	0	0	0	0	2	3	0	0	0	5	5	5
CDH18	0	0	0	0	5	0	0	0	0	5	5	5
CENPF	0	0	0	0	4	1	0	0	0	5	5	5
CHADL	0	4	0	0	1	0	0	0	0	5	5	5
CIMAP2	0	2	0	0	3	0	0	0	0	5	5	5
CNTNAP3B	1	0	0	0	1	0	0	3	0	5	5	5
COL6A5	0	0	0	0	4	1	0	0	0	5	5	5
CWH43	4	0	0	0	1	0	0	0	0	5	5	5
DMD	0	0	0	0	5	0	0	0	0	5	5	5
DNAH14	2	0	0	0	0	2	0	1	0	5	5	5
DNAH9	0	1	0	0	4	0	0	0	0	5	5	5
DOCK11	0	0	0	0	3	1	0	1	0	5	5	5
